Respondent_ID,Q1_Age_Group,Q2_City_Type,Q3_Occupation,Q4_Monthly_Income,Q5_Exercise_Frequency,Q6_Workout_Location,Q7_Primary_Fitness_Goal,Q8_Biggest_Fitness_Challenge,Q9_Diet_Type,Q10_Dietary_Restrictions,Q11_Meal_Management,Q12_Biggest_Diet_Challenge,Q13_Travel_Frequency,Q14_Daily_Routine,Q15_Time_for_Fitness,Q16_Current_Fitness_App_Usage,Q17_Preferred_Features,Q18_Willingness_to_Pay,Q19_What_Would_Make_You_Pay,Q21_Current_Weight_Category,Q22_Problem_Intensity_Score,Q23_Days_Followed_Plan_Last_30_Days,Q24_When_Stop_Routine,Q25_Why_Stopped_Fitness_Apps,Q26_Guaranteed_Results_WTP,Q27_Main_Motivation,Q28_Meal_Control_Level
R0675,25-34,Metro,Business Owner,"20,000-50,000",3-4 times/week,Outdoors,General fitness,Lack of knowledge,Non-vegetarian,Lactose intolerance,Mix of both,Lack of consistency,Occasionally,Highly unpredictable,60-90 mins,Yes,Calorie tracking via photo | Diet planning,₹999+,Personalization,Normal,4.0,11-20,Travel,Lost motivation,₹2000+,Health concerns,Very limited control (hostel/mess)
R1700,18-24,Tier 1,Student,"50,000-1,00,000",5+ times/week,Gym,Muscle gain,Lack of knowledge,Vegetarian,None,Mix of both,Cravings,Rarely,Somewhat structured,60-90 mins,Yes,AI workout plan | Diet planning | Form correction via video,₹999+,Convenience | Personalization,Obese,2.0,20+,Travel,No results,₹2000+,Mental well-being,Partial control
R1283,18-24,Tier 2,Retired,"20,000-50,000",3-4 times/week,Home,Medical/rehabilitation,Lack of knowledge,Non-vegetarian,Nut allergies,Order food frequently,Budget constraints,Occasionally,Highly unpredictable,<30 mins,No,AI workout plan | Allergy-specific diets,₹99-₹199,All-in-one solution | Convenience,Normal,1.0,0-5,Lack of motivation,Lost motivation,₹199,Looking good (aesthetics),Full control (cook myself)
R1316,45-54,Tier 2,Homemaker,"1,00,000-2,00,000",Never,Gym,General fitness,No access to gym,Eggetarian,None,Home-cooked,Lack of consistency,Occasionally,Highly unpredictable,30-60 mins,Yes,Form correction via video,₹999+,Convenience | Expert guidance | Personalization,Overweight,4.0,6-10,Lack of motivation,Too expensive,₹2000+,Mental well-being,Full control (cook myself)
R1211,25-34,Metro,Business Owner,"20,000-50,000",,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Home-cooked,Cravings,Frequently,Highly unpredictable,30-60 mins,Yes,Calorie tracking via photo | Form correction via video | Travel-friendly plans,₹499-₹999,Convenience | Proven results,Obese,5.0,6-10,Don't see results,Too expensive,₹2000+,Performance/strength,Partial control
R1637,25-34,Tier 2,Homemaker,"50,000-1,00,000",1-2 times/week,Home,Medical/rehabilitation,Lack of time,Eggetarian,None,Home-cooked,No time to cook,Frequently,Somewhat structured,30-60 mins,No,AI workout plan | Travel-friendly plans,₹999+,Convenience,Overweight,5.0,11-20,Lack of motivation,Too complicated,₹2000+,Mental well-being,Partial control
R0614,45-54,Tier 2,Retired,"50,000-1,00,000",3-4 times/week,Home,General fitness,No access to gym,Vegetarian,None,Home-cooked,Cravings,Rarely,Very structured,30-60 mins,No,AI workout plan | Form correction via video,₹999+,All-in-one solution,Overweight,5.0,0-5,Don't see results,No results,₹2000+,Health concerns,Partial control
R0448,18-24,Tier 1,Student,"<20,000",5+ times/week,I don't work out,Muscle gain,No access to gym,,Other,Hostel/mess food,Don't know what to eat,Occasionally,Highly unpredictable,30-60 mins,Yes,AI workout plan | Diet planning,₹199-₹499,All-in-one solution,Normal,2.0,0-5,Travel,Too expensive,₹499,Looking good (aesthetics),Very limited control (hostel/mess)
R1132,25-34,Metro,Homemaker,"<20,000",3-4 times/week,Gym,Not sure,Lack of time,Eggetarian,None,Home-cooked,Budget constraints,Rarely,Highly unpredictable,30-60 mins,No,AI workout plan | Form correction via video,₹99-₹199,Convenience,Normal,4.0,0-5,Never started properly,Lost motivation,Nothing,Mental well-being,Very limited control (hostel/mess)
R0809,45-54,Tier 3 / Rural,Working Professional,"2,00,000+",1-2 times/week,I don't work out,Medical/rehabilitation,Lack of knowledge,Vegetarian,None,Mix of both,Lack of consistency,Frequently,Highly unpredictable,30-60 mins,Yes,,₹999+,Expert guidance | Proven results,Normal,4.0,6-10,Don't see results,Too expensive,₹2000+,Health concerns,Partial control
R1497,18-24,Metro,Student,"<20,000",3-4 times/week,Gym,Muscle gain,No access to gym,Eggetarian,Other,Order food frequently,Budget constraints,Occasionally,Highly unpredictable,30-60 mins,No,Diet planning | Form correction via video,Free only,Proven results,Normal,4.0,11-20,Travel,Too complicated,Nothing,Looking good (aesthetics),Very limited control (hostel/mess)
R1469,35-44,Tier 2,Retired,"2,00,000+",3-4 times/week,I don't work out,Weight loss,No proper diet,Eggetarian,,Mix of both,Budget constraints,Rarely,Very structured,30-60 mins,No,Diet planning,₹999+,Convenience | Expert guidance,Overweight,,0-5,Never started properly,Lost motivation,₹2000+,Mental well-being,Full control (cook myself)
R1683,35-44,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Order food frequently,Budget constraints,Occasionally,Highly unpredictable,30-60 mins,No,Allergy-specific diets | Calorie tracking via photo | Form correction via video,₹499-₹999,Expert guidance | Proven results,Normal,4.0,11-20,Never started properly,Not personalized,,Performance/strength,Partial control
R1150,18-24,,Retired,"50,000-1,00,000",1-2 times/week,Gym,General fitness,No proper diet,Vegetarian,None,Hostel/mess food,Lack of consistency,Rarely,Highly unpredictable,30-60 mins,No,Calorie tracking via photo | Diet planning,₹199-₹499,Personalization | Proven results,Normal,3.0,6-10,Social events,Not personalized,₹999,Mental well-being,Partial control
R0443,25-34,Tier 2,Retired,"50,000-1,00,000",,Home,Medical/rehabilitation,Lack of time,Eggetarian,None,Mix of both,Cravings,Occasionally,Very structured,30-60 mins,No,AI workout plan | Calorie tracking via photo | Form correction via video,₹999+,All-in-one solution | Personalization | Proven results,Overweight,5.0,11-20,Don't see results,Not personalized,₹2000+,Health concerns,Very limited control (hostel/mess)
R1814,35-44,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,I don't work out,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,Cravings,Occasionally,Very structured,<30 mins,No,AI workout plan | Diet planning | Form correction via video,₹999+,All-in-one solution,Overweight,4.0,11-20,Lack of motivation,Too expensive,₹2000+,Health concerns,Partial control
R0655,18-24,Tier 2,,"20,000-50,000",5+ times/week,Home,Muscle gain,Lack of time,Vegetarian,None,Hostel/mess food,Don't know what to eat,Occasionally,Somewhat structured,30-60 mins,No,Calorie tracking via photo | Diet planning | Form correction via video,₹99-₹199,Personalization | Proven results,Obese,2.0,20+,Travel,Too expensive,₹499,Looking good (aesthetics),Very limited control (hostel/mess)
R1265,25-34,Tier 1,Working Professional,"<20,000",5+ times/week,Gym,Weight loss,Lack of motivation,Non-vegetarian,None,Mix of both,Lack of consistency,Rarely,Highly unpredictable,60-90 mins,Yes,Calorie tracking via photo,₹499-₹999,Personalization | Proven results,Normal,4.0,11-20,Never started properly,Too expensive,₹999,Performance/strength,Partial control
R0859,35-44,Tier 2,Working Professional,"20,000-50,000",Never,I don't work out,Medical/rehabilitation,Lack of knowledge,Eggetarian,None,Home-cooked,No time to cook,Frequently,Very structured,<30 mins,Yes,AI workout plan | Diet planning | Travel-friendly plans,₹199-₹499,Convenience,Overweight,4.0,0-5,,Never used any,₹499,Health concerns,Very limited control (hostel/mess)
R1483,25-34,Metro,Business Owner,"<20,000",1-2 times/week,I don't work out,General fitness,No proper diet,Vegetarian,None,Order food frequently,Budget constraints,Occasionally,Highly unpredictable,<30 mins,No,Calorie tracking via photo | Diet planning,₹99-₹199,Personalization,Normal,5.0,0-5,Lack of motivation,Lost motivation,₹199,Social pressure,Very limited control (hostel/mess)
R0232,18-24,Metro,Business Owner,"20,000-50,000",Never,Outdoors,General fitness,Lack of motivation,Non-vegetarian,Other,Order food frequently,Budget constraints,,Somewhat structured,<30 mins,No,Calorie tracking via photo,Free only,Convenience | Proven results,Normal,4.0,0-5,Don't see results,Too complicated,Nothing,Mental well-being,Partial control
R1822,,Tier 1,Business Owner,"50,000-1,00,000",3-4 times/week,Home,General fitness,Lack of knowledge,Vegetarian,Other,Home-cooked,,Rarely,Somewhat structured,<30 mins,No,AI workout plan | Allergy-specific diets | Diet planning,₹999+,Convenience | Personalization | Proven results,Underweight,5.0,11-20,Don't see results,Lost motivation,₹2000+,,Full control (cook myself)
R1927,25-34,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,General fitness,Lack of knowledge,Vegetarian,Nut allergies,Hostel/mess food,Lack of consistency,Rarely,Highly unpredictable,60-90 mins,Yes,Allergy-specific diets | Travel-friendly plans,₹999+,Expert guidance | Personalization | Proven results,Overweight,4.0,6-10,Don't see results,Too expensive,,Performance/strength,Full control (cook myself)
R0882,18-24,Tier 3 / Rural,Student,"20,000-50,000",3-4 times/week,Gym,Not sure,Lack of knowledge,Non-vegetarian,Lactose intolerance,Mix of both,Lack of consistency,Occasionally,Highly unpredictable,<30 mins,Yes,Form correction via video,₹499-₹999,Proven results,Overweight,5.0,20+,,Too expensive,₹499,Looking good (aesthetics),Partial control
R0632,45-54,Tier 3 / Rural,Working Professional,"20,000-50,000",3-4 times/week,Home,Not sure,Lack of knowledge,Eggetarian,None,Hostel/mess food,Budget constraints,Occasionally,Highly unpredictable,<30 mins,No,AI workout plan | Calorie tracking via photo | Diet planning,₹99-₹199,All-in-one solution | Expert guidance,Underweight,3.0,6-10,Lack of motivation,Too complicated,₹199,Looking good (aesthetics),Very limited control (hostel/mess)
